,sceneDateString,platform,dt
0,2016-09-20,Sentinel-1A,
1,2017-03-01,Sentinel-1B,162 days 00:00:00.000000000
2,2017-03-13,Sentinel-1B,12 days 00:00:00.000000000
3,2017-03-25,Sentinel-1B,12 days 00:00:00.000000000
4,2017-04-06,Sentinel-1B,12 days 00:00:00.000000000
5,2017-04-18,Sentinel-1B,12 days 00:00:00.000000000
6,2017-04-30,Sentinel-1B,12 days 00:00:00.000000000
7,2017-05-12,Sentinel-1B,12 days 00:00:00.000000000
8,2017-05-24,Sentinel-1B,12 days 00:00:00.000000000
9,2017-06-05,Sentinel-1B,12 days 00:00:00.000000000
10,2017-06-17,Sentinel-1B,12 days 00:00:00.000000000
11,2017-06-29,Sentinel-1B,12 days 00:00:00.000000000
12,2017-07-11,Sentinel-1B,12 days 00:00:00.000000000
13,2017-07-23,Sentinel-1B,12 days 00:00:00.000000000
14,2017-08-04,Sentinel-1B,12 days 00:00:00.000000000
15,2017-08-16,Sentinel-1B,12 days 00:00:00.000000000
16,2017-08-28,Sentinel-1B,12 days 00:00:00.000000000
17,2017-09-09,Sentinel-1B,12 days 00:00:00.000000000
18,2017-09-21,Sentinel-1B,12 days 00:00:00.000000000
19,2017-10-03,Sentinel-1B,12 days 00:00:00.000000000
